Section,Category,Item_Description,Status_Value,Owner,Links
Artefacts,Artefacts,Update,SO refactorings ( ) - removed free shipping field  - Verified changed the sequence of sections on OrderLineDetailsForm on the SO Line details section  - Verified Updated Add OrderLine form to match SO Line details on CreateOrderLine  - Verified Changed the position of showInMyChip1 on CreateSO   - Verified,,
Artefacts,Artefacts,fix(phone),"normalize (0) trunk-prefix and unify Order contact phone display ( ) - Problem Some contacts in the database store their phone number in a single field with no country code, using the European (0)",,
Artefacts,Artefacts,trunk-prefix notation,,,
Artefacts,Artefacts,"{ ""countryCode""",""""", ""phone"": ""+31 (0) 40 295 0870 "", ""type"": ""General"", ""isDefault"": true }",,
Artefacts,Artefacts,This caused two separate display bugs, Contact Details → Communications island — phone shown as (0)40 2950870 instead of +31 / 40 295 0870 Order Details / Order Line Details → General → Contact — country code shown as — and phone shown as 040 295 0870 instead of +31 / 40 295 0870 crmPhoneToE164 — strips (0) trunk-prefix notation before extracting digits ( +31 (0) 40 295 0870 → +31402950870 ) formatCrmPhone / formatFullPhone — delegate to crmPhoneToE164 for normalisation; auto-detect country when countryCode is empty convertCrmPhoneToPhone — auto-detects country from the E164 number when countryCode is absent OrderContactInfo — replaced ad-hoc flag + formatting logic with PhoneField readOnly ; falls back to dash placeholders when no usable phone is present Open the contact's detail page,,
Artefacts,Artefacts,The Communications island expand→ the phone field should show,,,
Artefacts,Artefacts,Country, 🇳🇱 +31,,
Artefacts,Artefacts,Phone input, 40 295 0870 (not (0)40 2950870 ) Open any order that has Cees Stork as a contact,,
Artefacts,Artefacts,"In the General island (read-only summary), the Contact row should show",,,
Artefacts,Artefacts,Country, 🇳🇱 +31 (not — ),,
Artefacts,Artefacts,Phone Number, 40 295 0870 (not 040 295 0870 ) Same in Order Line Details → General Open an order whose contact has no phone on record,,
Artefacts,Artefacts,The General island should show,,,
Artefacts,Artefacts,Country, —,,
Artefacts,Artefacts,Phone Number," — (two visible dash placeholders, not two blank inputs) Open an order with a US contact (e.g.",,
Artefacts,Artefacts,countryCode,"""+1"", areaCode: ""252"", phone: ""2378171"" )",,
Artefacts,Artefacts,General island should still show,,,
Artefacts,Artefacts,Country, 🇺🇸 +1,,
Artefacts,Artefacts,Phone Number," (252) 237-8171 Same for UK ( +44 ), Germany ( +49 ), and other international numbers",,
Artefacts,Artefacts,feat(order-details),"add permission granularity for requirement source field ( ) - Quote duplicate issue fix - this is happening once Quote created, and received update couple of times.",,
Artefacts,Artefacts,Deploying UI to stage,8 April,,
Artefacts,Artefacts,Update,SO refactorings ( )   -  @Deepti Vaidyula removed free shipping field - Verified changed the sequence of sections on OrderLineDetailsForm on the SO Line details section - verified Updated Add OrderLine form to match SO Line details on CreateOrderLine  - Verified Changed the position of showInMyChip1 on CreateSO  - Verified,,
Artefacts,Artefacts,feat,"UI feedback fixes batch 2 ( ) [item 16] Remove invoice delivery mode section from SO billing detail — preferredInvoiceMethod and its conditional postal/web/email sub-fields removed; invoice text field preserved -  @Deepti Vaidyula - Verified SO detail → billing section has no ""Invoice Delivery Mode""; invoice text field still present  -  @Deepti Vaidyula - Verified SO with existing approvals → ""Add Line"" shows warning dialog before opening the form -  @Deepti Vaidyula - Verfied SO with multiple lines → overview card shows all part MPNs -  @Deepti Vaidyula - Issue Add Line on any SO → skeleton shows briefly before form renders -  @Deepti Vaidyula - Verified [item 24] Guard new-line creation on approved SOs — ""Add Line"" now shows a confirmation dialog when the SO has active approvals, warning that they may be reset -  @Deepti Vaidyula [item 26] Part numbers on SO overview card — aggregates MPNs from all order lines and displays them in the order ID card header -  @Deepti Vaidyula [item 27] Notification click routing — clicks now open the correct entity info modal -  @Harika Guntamukkala ( order.showInfo , quote.showInfo , rfq.showInfo , offer.showInfo ) based on entityType , instead of always opening task.showInfo Wrapped <CreateOrderLineForm> in a <Suspense> boundary with a CreateOrderLineFormSkeleton fallback -  @Harika Guntamukkala Dev only",,
Artefacts,Artefacts,chore(vite),replace nullish coalescing with OR for Sentry config ( ) Sentry build ( ) Inject Sentry auth token as BuildKit secret in CI build pipelines Pass SENTRY_AUTH_TOKEN via --secret to both myChip1 and CRM Docker builds Update Sentry plugin and source map integration (dev only) ( ),,
Artefacts,Artefacts,This pull request introduces updates to improve the integration and usage of Sentry within the build process and production environment. Key changes include," Enhancements to createSentryPlugin to support project-specific settings, hidden source maps, source map upload, and post-upload cleanup. Fixes for build configuration defaults, improved documentation, and alignment with code review feedback. Introduced a new feature to block source map file access in NGINX with a 404 response for added security. Update dependencies for maintenance ( ) Updated various dependencies to their latest versions for improved stability and compatibility. This is a routine maintenance update. Improve error handling and miscellaneous fixes ( ) Fix enum label retrieval and adjust Vite configuration (dev only) ( ) This pull request addresses an issue with part status retrieval by ensuring enum labels are fetched silently. Additionally, it updates the Vite configuration to set the default log level to 'warn' and disables the compressed size report, optimizing the development build process. There is explanation added in UI changes, so kept as is for understanding them There are few enhancements as well like ""Improve error handling and miscellaneous fixes"" regression/sanity related that area should be enough",,
Artefacts,Artefacts,Deploying UI to stage,"8 April Excess offers - Create Bid ( ) -  @Harika Guntamukkala Not ready for testing Add a new CRM Create a Bid flow for excess offer bundles, including FAB entrypoint, modal registration, selection persistence, bid-type handling, and validation. Support both Buy and Consignment Contract bid modes with bid-specific fields, table columns, footer totals, and i18n labels. Add end-to-end-style tests for the FAB trigger and CreateOfferBidModal , covering defaults, validation, conditional UI, totals, and submit-close behavior. RFQ feedback - 07.04.2026 ( ) Many users use enter to input a field and then go to the next one. Can we allow that behaviour as well - We can push back if you guys have objections Currently we are using enter to submit the modal. People here are not used to this. We have to think whether to keep it or remove. For dates - can we use enter to default to current date ? 10 ) Can we do changes to the create quote for multiple RFQs ? - We need to allow editing of quantity, add currency and package field here  -  @Harika Guntamukkala ,  @Deepti Vaidyula Dev Only Update Sentry plugin and source map integration (dev only) ( )",,
Artefacts,Artefacts,This pull request introduces updates to improve the integration and usage of Sentry within the build process and production environment. Key changes include," Enhancements to createSentryPlugin to support project-specific settings, hidden source maps, source map upload, and post-upload cleanup. Fixes for build configuration defaults, improved documentation, and alignment with code review feedback. Introduced a new feature to block source map file access in NGINX with a 404 response for added security.",,
